Series Code,Series Name,Indicator Reference Number,Reference Area Code (M49),Reference Area Type [for UNSD use only],Reference Area Name,Time Period,Observation Value,Unit of Measurement,Nature of Data,Disaggregation classification,Time Detail,Reporting Type,Footnotes,Source Detail
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,1,1.0-Global,World,2019,24.9,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,53,2.1-Regional (SDG),Australia and New Zealand (M49),2019,18.5,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,143,2.1-Regional (SDG),Central Asia (M49),2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,62,2.1-Regional (SDG),Central Asia (M49) and Southern Asia (MDG=M49),2019,55.99,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,30,2.1-Regional (SDG),Eastern Asia (M49),2019,42.51,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,753,2.1-Regional (SDG),Eastern Asia (M49) and South-eastern Asia (MDG=M49),2019,32.53,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,150,2.1-Regional (SDG),Europe (M49),2019,10.47,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,419,2.1-Regional (SDG),Latin America and the Caribbean (MDG=M49),2019,31.29,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,15,2.1-Regional (SDG),Northern Africa (M49),2019,32.91,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,21,2.1-Regional (SDG),Northern America (M49),2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,513,2.1-Regional (SDG),Northern America (M49) and Europe (M49),2019,10.47,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,9,2.1-Regional (SDG),Oceania (M49),2019,18.47,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,543,2.1-Regional (SDG),Oceania (M49) excluding Australia and New Zealand (M49),2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,35,2.1-Regional (SDG),South-eastern Asia (MDG=M49),2019,24.09,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,34,2.1-Regional (SDG),Southern Asia (MDG=M49),2019,55.99,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,202,2.1-Regional (SDG),Sub-Saharan Africa (M49),2019,10.34,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,WHO-GLASS
