"COUNTRY";"YEAR";"SPECIMEN";"GENDER";"ORIGIN";"AGEGROUP";"NUMSAMPLEDPATIENTS";"BATCHID"
"ZAF";"2015";"BLOOD";"M";"HO";"UNK";"1";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"01<04";"1044";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"01<04";"10";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"01<04";"13";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"<1";"4157";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"<1";"84";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"<1";"30";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"05<14";"801";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"05<14";"6";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"05<14";"15";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"15<24";"26";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"15<24";"16";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"25<34";"2225";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"25<34";"44";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"25<34";"24";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"35<44";"2324";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"35<44";"43";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"35<44";"32";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"45<54";"1883";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"45<54";"26";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"45<54";"30";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"55<64";"1526";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"55<64";"21";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"55<64";"20";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"65<74";"18";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"65<74";"12";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"75<84";"507";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"75<84";"4";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"75<84";"6";"DS1"
"ZAF";"2015";"BLOOD";"M";"HO";"85<";"2";"DS1"
"ZAF";"2015";"BLOOD";"M";"CO";"85<";"1";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"01<04";"6";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"01<04";"13";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"<1";"3410";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"<1";"82";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"<1";"22";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"05<14";"3";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"05<14";"9";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"15<24";"1554";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"15<24";"16";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"15<24";"10";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"25<34";"3045";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"25<34";"28";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"25<34";"14";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"35<44";"2206";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"35<44";"25";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"35<44";"17";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"45<54";"1649";"DS1"
