"username";"region_code";"country_code";"Identifiant";"year";"ncc_established";"ncc_established_name";"ncc_established_address";"focal_point";"fp_name";"fp_surname";"existing_plans";"web_link";"nrl_designated";"nrl_designated_name";"nrl_designated_address";"eqa_scheme";"ast_standards";"ast_standards_other";"fullreq";"num_in_fullreq";"num_out_fullreq";"num_in_out_fullreq";"num_labs_fullreq";"dataprovider";"num_in_dataprovider";"num_out_dataprovider";"num_in_out_dataprovider";"num_labs_dataprovider";"astperform";"num_labo_astperform";"amr_quality_assurance";"eqa_type";"eqa_pathogens";"num_labo_ast_18";"astperform18";"num_labo_eqa_bact";"num_labo_eqa_ast";"num_labo_eqa_ast_18";"num_pat_year_h";"num_pat_year_o";"amr_standards";"description"
"Afghanistan1";"EMR";"AFG";"1625";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"1";"1";"1";"";"1";"";"1";"";"";"";"";"";"Following the endorsement of the Global action plan on antimicrobial resistance through WHA68.7, Afghanistan as a WHO member state with technical support of the WHO country office, initiated the program and so far the following progress has made : 1.	National AMR focal point appointed, 2.	National Action Plan for AMR 2017-2021 developed, 3.	National Coordination Center (NCC) with the following governance structure established. ?	AMR-Technical Advisory Group on AMR (AMR-TAG) specific for human health sector with clear ToR and membership of the different related departments. ?	AMR-Core working group (AMR-CWG) specific for human health sector with clear ToR and membership of the different related departments.  4.	The country has enrolled in Global Antimicrobial Resistance Surveillance System (GLASS) since 2018 with having : ?	 National AMR surveillance plan and  ?	GLASS sub-committee. 5.	One National Reference Laboratory performing Antimicrobial Sensitivity testing and one Hospital as Surveillance site are identified . Despite the fact the AMR has emerged as global public health problem leading to significant morbidity as well economic burden which need critical attention, however, the country has made some progress which need further investment for its institutionalization.   "
"Angola1";"AFR";"AGO";"1626";"2020";"2";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"8";"0";"";"";"";"UNK";"";"";"UNK";"";"";"";"Angola is at the phase of implementing AMR Surveillance in the country, identifying local sentinels and coordinating  for lab data monthly report about the situation of AMR in the country."
"root";"EUR";"ALB";"1627";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"AND";"1628";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Emirates1";"EMR";"ARE";"1629";"2020";"2";"";"";"";"";"";"1";"";"0";"";"";"0";"CLSI";"";"";"79";"171";"250";"39";"";"79";"171";"250";"39";"";"39";"0";"2";"";"39";"";"39";"";"";"";"";"";"The United Arab Emirates have been conducting surveillance of AMR since 2011 when the Abu Dhabi - Antimicrobial Resistance Surveillance Program (AD ARS) was introduced. In 2015, the program was expanded nationwide, under the Ministry of Health and Prevention. The National Action Plan on AMR is under development. UAE has enrolled in GLASS in April 2017."
"subissi.l";"AMR";"ARG";"1630";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"0";"0";"91";"0";"";"0";"0";"70";"0";"";"91";"1";"1";"";"70";"";"70";"";"";"";"";"";"The ?National Antimicrobial Resistance Surveillance Network: WHONET-Argentina? is coordinated by the Antimicrobial Agents Division (NRL in AMR) of the National Institute of Infectious Diseases-ANLIS ""Dr. Carlos G. Malbrán??, Ministry of Health. Argentina is implementing the National Action Plan on AMR published in 2015. The country participates in ReLAVRA since 2000 and has been enrolled in GLASS in April 2019."
"root";"EUR";"ARM";"1631";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"ATG";"1632";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia1";"WPR";"AUS";"1633";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"O|EUCAST|CLSI";"Callibrated Dichotomous Susceptibility Testing";"";"41";"0";"0";"0";"";"41";"0";"0";"0";"";"34";"1";"1";"";"34";"";"34";"";"";"";"";"";"Australia released its second national AMR strategy, Australia?s National Antimicrobial Resistance Strategy: 2020 & Beyond, in March 2020. The Strategy aligns with the goal of the WHO Global Action Plan. Objective five of the Strategy aims for ?integrated surveillance and response to resistance and usage?. As such, Australia will continue to develop its One Health approach to surveillance by building on the existing Antimicrobial Use and Resistance in Australia (AURA) Surveillance System following further assessment across the animal, food and environment sectors. The AURA Surveillance System collects and reports data from partner programs across acute and community healthcare settings, and provides integrated reporting on priority organisms and antimicrobial use, and appropriateness of use, at a national level. The AURA Surveillance System published national reports in 2016, 2017 and 2019. Australia enrolled in the Global Antimicrobial Resistance Surveillance System (GLASS) in April 2019 and contributed data on one of eight possible GLASS priority pathogen/specimen combinations in 2019 and on 6/8 in 2020.  "
"subissi.l";"EUR";"AUT";"1634";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"0";"0";"119";"38";"";"0";"0";"119";"38";"";"38";"1";"1";"";"38";"";"38";"";"";"";"";"";"Laboratories get samples. Laboratories report to national reference centre. National reference centre reports to MoH. MoH reports to ECDC. Austria checks if the data sent annually to ECDC via TESSy are correct. However although all reasonable precautions have been taken to verify the content provided by Austria into the TESSy platform, Austria makes no warranties, express or implied, regarding the content, presentation, appearance, completeness or accuracy of the Austrian data in TESSy. WHO may get Austrian EARS-Net Data from ECDC under the condition European Community Laws apply and especially the European Union Data Protection Laws are met. Austria does not check if data provided from ECDC to third parties are correct or complete. Austria makes no warranties, express or implied, regarding the content, presentation, appearance, completeness or accuracy of the data in the web-based internet GLASS platform. Austrian antimicrobial resistance data are published annually (AURES - starting with the year 2005) by the Austrian Health Authority (https://www.sozialministerium.at/Themen/Gesundheit/Antimikrobielle-Resistenzen-und-Gesundheitssystem-assoziierte-Infektionen/Antimikrobielle-Resistenzen/AURES---der-österreichische-Antibiotikaresistenz-Bericht.html) "
"root";"EUR";"AZE";"1635";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"AFR";"BDI";"1636";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"4";"3";"7";"2";"UNK";"";"";"0";"0";"UNK";"";"0";"";"";"";"UNK";"";"";"UNK";"";"";"";"We have 2 national laboratories and 7 sites which participate to the National AMR surveillance system (9 sites globally). During this end of 2020, we analyse the capacity of these sites in order to provide data, which will be reported to the GLASS.  We are working hard and we will start to report to the GLASS sooner."
"root";"EUR";"BEL";"1637";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"BEN";"1638";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"BFA";"1639";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
