iso3,year,value,hic
ABW,2016,,High income
AFG,2016,,Low and middle income
AGO,2016,,Low and middle income
AIA,2016,,Low and middle income
ALB,2016,,Low and middle income
AND,2016,,High income
ARE,2016,,High income
ARG,2016,,Low and middle income
ARM,2016,,Low and middle income
ASM,2016,,Low and middle income
ATG,2016,,High income
AUS,2016,,High income
AUT,2016,,High income
AZE,2016,,Low and middle income
BDI,2016,,Low and middle income
BEL,2016,,High income
BEN,2016,,Low and middle income
BFA,2016,,Low and middle income
BGD,2016,,Low and middle income
BGR,2016,,Low and middle income
BHR,2016,,High income
BHS,2016,,High income
BIH,2016,22.7,Low and middle income
BLR,2016,,Low and middle income
BLZ,2016,,Low and middle income
BMU,2016,,High income
BOL,2016,,Low and middle income
BRA,2016,,Low and middle income
BRB,2016,,High income
BRN,2016,,High income
BTN,2016,,Low and middle income
BWA,2016,,Low and middle income
CAF,2016,,Low and middle income
CAN,2016,,High income
CHE,2016,9.16,High income
CHL,2016,,High income
CHN,2016,,Low and middle income
CMR,2016,,Low and middle income
COD,2016,,Low and middle income
COG,2016,,Low and middle income
COK,2016,,Low and middle income
COL,2016,,Low and middle income
COM,2016,,Low and middle income
CPV,2016,,Low and middle income
CRI,2016,,Low and middle income
CUB,2016,,Low and middle income
CYM,2016,,High income
CYP,2016,,High income
CZE,2016,,High income
DEU,2016,11.56,High income
DJI,2016,,Low and middle income
DMA,2016,,Low and middle income
DNK,2016,,High income
DOM,2016,,Low and middle income
DZA,2016,,Low and middle income
ECU,2016,,Low and middle income
EGY,2016,,Low and middle income
ERI,2016,,Low and middle income
ESP,2016,,High income
EST,2016,,High income
ETH,2016,,Low and middle income
FIN,2016,6.66,High income
FJI,2016,,Low and middle income
FRA,2016,,High income
FSM,2016,,Low and middle income
GAB,2016,,Low and middle income
GBR,2016,,High income
GEO,2016,,Low and middle income
GHA,2016,,Low and middle income
GIN,2016,,Low and middle income
GMB,2016,,Low and middle income
GNB,2016,,Low and middle income
GNQ,2016,,Low and middle income
GRC,2016,,High income
GRD,2016,,Low and middle income
